handle,name,tweetdate,tweet,isretweet,likes,retweets,comments,isthread
@ABsay_ek,Abhishek AB,12-Jul-2024,"But The women weren't seeking the money the men received...
They knew  the constraints & never aimed for that,Their sole focus was on gaining playing opportunities, which were unfortunately scarce...

7/n",N,35,5,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Imagine playing only 35 International games in almsot 2 decades( pretty normal for a Men's cricketer to play in a single year)
Kapil Dev did few years later what actually Shantha Ragaswamy used to do in Women's Cricket...

8/n",N,41,6,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Mind you; These games she played across 20 Years & she also managed to do a full time day job at Canara Bank(as an active player) & also helped in arrangement of nets, matting, sponsorships to suuport Women's Cricket...

9/n",N,39,3,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Now some of her finest performances in Internationals: Right from the 1st ever Test of India...

10/n",N,38,4,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"The Historical 1st ever Test victory at Patna where she received recognition in the form of a gold chain with a pendant shaped like a ball from Vummidi Bangaru Jewellers...

11/n",N,40,6,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"And then she went on to score 1st ever Test hundred for India (that too in away conditions of New Zealand) at Dunedin..
Just see the scorecard of this match
Nobody else reached to even 20 when she scored 108 runs alone...

12/n",N,37,5,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Interestingly, she had already scored a hundred against same team in Feb 1976 at Pune when New Zealand visited India but after sometime these games were called unofficial & her 2nd Hundred became the 1st...

13/n
",N,31,1,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"She received a Luna scooter as a gift after her century in Pune, her first-ever vehicle...
Before that, she walked over 10 km or took the bus to training & funded her own gear & tours...

14/n",N,35,2,2,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Under her captaincy, India won their first-ever ODI in the 1982 World Cup & even defeated England...
Remarkably, the Indian women’s team won four matches in their inaugural World Cup, while the men’s team had won only one game across two World Cups by that time...

15/n",N,45,5,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"When she entered the field, the crowd often cheered ""Bheema!""( in reference to the strongman from the Mahabharata)
It wasn't just about her physique(She was 5'9""); it symbolized the resilience & determination she embodied throughout her career...

16/n",N,34,1,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"In 1993, when she was transferred to Lucknow for her bank job, she received an invitation to play for UP team.
However,her loyalty remained with one team—whether it was her club Falcon,or state.
She declined the offer & continued playing for Karnataka that season before retiring...

17/n",N,33,2,2,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Even after retiring,She actively nurtured women’s cricket, spent a few years commentating for Doordarshan & All India Radio, & briefly coached the Indian team before becoming a selector...

18/n",N,36,1,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"In 2017, she became the first female cricketer to receive the 'CK Nayudu Lifetime Achievement Award'...
She also made history as the first woman to join the BCCI Apex Council...

19/n",N,37,3,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"In her own words: “You could play today because we did well then,""
""We laid a very strong foundation that helped the game survive initially & flourish later,"" ""and no one can take that pride away from us - that feeling of satisfaction compensates for everything else.""

20/n",N,42,4,3,Y
@ABsay_ek,Abhishek AB,21-Jan-2024,"If James Anderson managed to bowl 777 deliveries more (approx 130 Overs) either in upcoming series or in future... He will become the First ever pace bowler in International Cricket to bowl 50000 deliveries...

#CricketTwitter

#INDvsENG",N,402,64,30,N
@ABsay_ek,Abhishek AB,11-Jul-2024,"And He did it...in his final innings...
James Anderson just bowled his 50000th delivery in International Cricket...",N,525,56,8,N
@ABsay_ek,Abhishek AB,11-Jul-2024,"Jayden Seales is boasting a phenomenal Bowling Strike Rate at present (41.7) with 41 wickets in his 11th Test...

Interestingly he has only one 5 wicket haul in his career so far...",N,119,7,3,N
@ABsay_ek,Abhishek AB,11-Jul-2024,"In his last 36 Tests over the past three years, Joe Root's career batting average has consistently remained between 49 & 51, never falling below 49 or reaching 51...

That's some peculiar consistency...",N,434,33,14,N
@ABsay_ek,Abhishek AB,11-Jul-2024,"Happy Birthday to Scott Muller

During the famous Hobart Test of 1999, in Pakistan's second innings, a ball was hit towards Muller at deep mid-wicket...

His wayward throw sailed over Gilchrist's head, and the microphones picked up the now-infamous words: ""He can't bowl, he can't throw.""

While Channel Nine icon 'Joe the Cameraman' eventually admitted to the remark, many believe it was a cover-up for Warney, who was bowling at that time...
It became a big controversy &
Voice analysts were asked to inspect the recording (They concluded that Warne was not to blame)
The issue even reached Parliament...

To make matters worse, The Lee brothers (Brett & Shane) released a song named ""Can't Bowl, Can't Throw"" in their debut album : Six & Out...

Many Years later; Despite his firm denial, Warne appeared to support the comment regardless...
Warne stated, ""If I wanted to tell him that, I would have done so anyway. Whoever said it, it's probably true.""

In Mullers's own words: ""I've gone from being the happiest bloke around two weeks ago,"" he lamented, ""to being rissoled completely.""

Muller, who took 7 wickets in his 2 Tests, never played another Test & ended his first-class career within six months, (We can only guess how much this incident affected Muller)
finishing with a bowling average of 23.5 in First Class & At the age of 28, his playing career was over...",N,308,44,28,N
@ABsay_ek,Abhishek AB,11-Jul-2024,"Zak Crawley Test Career:

In First 27 Tests: 1289 runs , 26 Avg, 53 SR, 7 50+ Scores

In Last 18 Tests: 1398 runs, 44 Avg, 81 SR, 12 50+ scores",N,120,14,7,N
@ABsay_ek,Abhishek AB,10-Jul-2024,"Some bowling spells of English bowlers against West Indies: 
James Anderson : 42/7
Dominic Cork : 43/7(in his debut Test)
Fred Trueman : 44/7
Trevor Bailey : 44/7
Gus Atkinson : 45/7(in his Debut Test)",N,56,6,9,N
@ABsay_ek,Abhishek AB,10-Jul-2024,"75 minutes of Hell

On This day; in 1976;It was the 3rd day of Old Trafford Test & West Indies were dominating when they set a target of 552...
England had to survive for 75 minutes of play which turned out to be indescribably brutal...

England Openers were Brian Close(45 years) & John Edrich(39 Years) against
Andy Robers, Michael Holdin & Wayne Daniel , who showed no mercy, relentlessly targeting the batsmen with bouncers aimed at their heads. All three bowlers were exceptionally fast & unleashed their full force against the two elderly batsmen...
Without helmets & any safety gears,both batters endured numerous body blows but managed to protect their wickets...

Ultimately Umpire Bill Alley had to warn Holding for bowling too many bouncers, much to his surprise, Close asked to him:

""Why did you have to do that?"" an agitated Close asked Alley.

""He's bowling too many bouncers,"" Alley responded, confused.

""Don't you realize the bouncers aren't the issue? It's the ones halfway down that are the problem,"" Close retorted.

Here to mention that Close was famous  for appearing immune to pain(see the image for his body blows from the red cherry), he would remark to anyone who flinched or rubbed a bruise: ""How can the ball hurt you? It's only on you for a second.""

Captain Lloyd didn't hold back his bowlers at all...Though, he commented after the match, ""Our guys got carried away.""

Both openers survived the session & on their way to dressing room, Edrich asked to Close:

""After 70 minutes out there & getting hit all over, do you know how many runs you scored?"" Edrich chuckled.

Close admitted he didn't.

""One,"" laughed Edrich. ""I hope it was worth the pain.""",N,13000,1400,229,N
@ABsay_ek,Abhishek AB,10-Jul-2024,"Happy 75th Birthday to Sunil Gavaskar...

Epitome of Concentration & Technically perfect batter...

Just a small snippet from his glittering career & a famous story:

34 Openers have played 10 or more Tests for India:
Gavaskar played the most: 119 & yet he hold the highest batting avg among all(50.29)

18 Indian openers managed to play 10 or more Tests outside home:
here again Gavaskar stands tall with highest & the only one with 50+ avg(52.9)

16 Indian Openers played 10 or more Tests outside Asia
& again Gavaskar is the only one with 50+ avg(51.6, no one else even reached 45 avg)

Till date he remains the only cricketer to hit double centuries in all four innings of Tests...

His batting avg was above 40 in all 4 innings & his 4th inning avg of 58 is by far the highest among all Indian batters(no one scored even 500 runs with 50 avg in 4th inning)

Now something about his ODi career as common perception built around him for his only one inning of 1975 World Cup..

In his last phase(after 1983 world cup): Gavaskar scored 1870 runs with 43.5 Avg & 65.8 SR as an opener in ODIs...

This might sound normal numbers in current times but trust me, no other opener in the world scored more runs than him with a better Avg/SR
between 1983-87 World Cup...

Infact the ATG opening pair of Greenidge(68.9 SR) & Haynes(62 SR) scored their runs with almost similar pace in this period...

Don Bradman rightfully called him "" An Ornament to Cricket""",N,279,56,20,N
@ABsay_ek,Abhishek AB,10-Jul-2024,"Happy Birthday to Bradley-John Watling...
We use Underrated word very often these days but Watling is the one guy who lived it...
In decade of 2010s:

He scored most runs by a wicketkeeper in Tests
2nd best batting Avg among all wk with 1000 runs(41.9)
His way avg is even better(43)
He scored most 50+ scores & joint most hundreds (7)

But that's not all...

He was part of 20 100+ runs partnerships & all of them happened for lower order only(5th or lower wicket)...

Few of them are:

365* for 6th wicket( from 159/5)
352 for 6th wicket (from 94/5)
261 for 7th wicket(from 316/6)
253 for 6th wicket(from 323/5)
201 for 6th wicket( from 279/5)
143 for 6th wicket( from 36/5)
127 for 10th wicket( from 327/9)
99 for 9th wicket( from 212/8)
93 for 9th wicket(from 335/8)

Almost every time he did this with a different batter,only Watling was a common link in all these rescue acts.  

New Zealand never lost a Test whenever Watling scored 80 runs or more in an inning...

He was by far the most effective wicketkeeper of his time(even statistically; he conceded only 2.2 byes per Test since 2018 & converted 90% of his chances into dismissal in both metrics by far the best among his peers)

His courageous act on the final day of his career was a testament to his determination...",N,796,113,21,N
@ABsay_ek,Abhishek AB,5-Oct-2023,"Devon Conway (who was born on South Africa) struggled to make an impression in his domestic career in South Africa as there was no clarity about his role(he batted as opener, middle order and even at no.7)

In 2017, when he was already 26 years old,on one day he decided to move on...

He could have chosen England as he had already played few seasons there , but he chose New Zealand just because his best friends are there.

He sold his Car,property, and everything so that  If he wouldn't succeed in New Zealand there should not be any thoughts in mind to return back to South Africa again...

Conway became school coach which involves 6-7 hours per day of work along with his club cricket practice.

He took his time to get settle there but soon after that he was the top scorer in 5 out of 6 domestic tournaments of New Zealand...

Now entire World is witnessing his class 😍

When there is will, there's a Conway...

#CricketTwitter

#ENGvNZ

#Worlds2023",N,19000,1700,162,N
@ABsay_ek,Abhishek AB,8-Jul-2024,"Happy Birthday to Sourav Ganguly...

Spandan covered his career beautifully in this thread, I'm just adding a bit here to emphasize Ganguly bowling contribution:

From Aug 1997 to July 2001: in this 4 year span 
Ganguly scored 5816 runs(most in the world) with batting average of 45.4 & 16 centuries in 142 ODIs ...
He took 66 wickets in same period with bowling average of 29.87 & 2 five wicket hauls
In the same period, primary bowlers like Kumble, Harbhajan, Joshi ,Prasad all average more than 31 & only Agarkar & Srinath took more wickets than Ganguly with a better average (Agarkar avg:29.65 almost similar to ganguly actually)

Out of all the frequent part timers of India (Sachin, Sehwag, Raina, Yusuf & Yuvraj: who was even considered allrounder by many) Ganguly has the best bowling average & best economy rate in ODIs...

Khilaadi toh bahut aaye aur gaye, lekin Dada sirf ek hi ban paya...",N,962,189,24,N
"@talksports45",Spandan Roy,8-Jul-2024,"A thread on one of the finest leaders, India ever had. One of the 21 elite cricketers to have scored 18000+ international runs. A leader who backed some of the finest match winners India had produced.

A player who experienced the highest of highs and the lowest of lows, but never gave up. One of the most elegant batters and one of the best hitters of spin, I have seen. Let's talk about Sourav Ganguly, the God of OffSide and a revolutionary captain. (1/n)
#CricketTwitter #HappyBirthdayDada",N,12000,1600,107,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Now before we move onto his cricketing journey and how it all started, here's a glimpse of how brutal was Dada against spinner. Ganguly's roof... This was when India took on Zimbabwe and Dada hit three sixes of Grant Flower, which prompted the Great Tony Greig to call Sharjah's roof as Ganguly's roof (2/n)",N,809,96,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Initially Dada was more attracted towards football and no surprises, there given the popularity of football in Bengal. But gradually he made a shift to cricket, and was supported by his brother Snehashish Ganguly. Despite being right handed, Dada learnt left handed batting, so that he could use his brother's cricket kit.
And soon he made his FC debut for Bengal in the Ranji Trophy finals of 1989/90 season against Delhi. On his debut, he became the 250th player to play for Bengal. This was also the last time, Bengal had won the Ranji Trophy.  (3/n)",N,403,36,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"He got his maiden international call-up soon, but before making his international debut, he did field in a game against South Africa at the Nehru Stadium, when he was in the squad as a reserve fielder.
It was time for him, to depart to Australia and his room mate was the Colonel, Mr. Dilip Vengsarkar. The Aussies did have a stellar bowling attack in Hughes, Reid, McDermott and Whitney.  
The Indian team didn't have a good time in tests there but despite that Sourav wasn't really being considered as a batter and hardly got to bat in the nets. He seemed to be more of a bowler, who can bat.
He finally got a chance, to play against West Indies in the tri-series that followed, the test series, and was welcomed by the Great Malcolm Marshall with an incoming delivery. Soon he fell to Anderson Cummins, and it was now gonna be a long wait for Sourav to return to international cricket. (4/n)",N,274,33,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Turn the clock all over to 1996, the WC semis, Ind lost to Sri Lanka, and Dada expected to be called up for the tri series to follow, but was snubbed.
But soon his fortunes were gonna change, he was named in the team, which was going to tour England. There were still doubts about his abilities and his selection did raise questions, but he had the perfect answer for everyone.
Before his debut, he was lucky to have an interaction with the Great Desmond Haynes, and the advices stuck with him throughout his career.
After Sidhu quit the tour, Sourav was slated to bat at 3 and he shut down his critics, scoring a century at Lord's, and he followed it up with another century at Trent Bridge. 
He earnt the confidence of his captain, Azhar and was gifted a watch. And the celebrations in his home town, began... (5/n)",N,282,34,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"He was set for greatness. He did play in the Sahara Cup, at Toronto in 1996 against Pakistan, though was dropped after the third match for Kambli, the very same venue and tournament where he was gonna deliver a stunning all round performance, a year later. 
1997 was a year where he literally announced himself in ODIs. A valiant 83 at Buffalo Park vs SA, scoring 222 runs and picking 15 wickets against Pakistan at Toronto.
 He achieved a special feat, grabbing 4 consecutive Man of the Match awards in the very same year in ODIs and is the only player in ODIs to do so.  Though Pak missed Waqar and Wasim, they still had the likes of Aaqib Javed and Mohammad Zahid. And Dada batted brilliantly against them. 

He scored 1338 runs in 1997 and picked 19 wickets in Odis. The very same year he also achieved his first ODI century against Sri Lanka.
(6/n)",N,244,29,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"He won approximately three cars in six months, was titled as the Prince of Calcutta by Geoffrey Boycott and Dada was gearing up for his first World Cup. He started off really well with a 97 against South Africa, though India had lost that game and India found themselves in a must win situation after losing another game to Zimbabwe.

26th of May,1999 India faced the defending champions, Sri Lanka and Ganguly broke Kapil Dev's record of 175, the highest score by an Indian batter in ODIs, scoring 183. He followed this with an all round show against England, scoring 40 off the bat and picking 3 wickets. (7/n)",N,301,31,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Unfortunately Dada, had to pull out from the game against Pakistan, coz of an injury and murmurs started that he was faking an injury. While India had won the game, Sourav wanted to prove a point.

In the year 2000, India played a tri series against Pakistan and Australia in Australia. He scored a century against both of the nations, and the Pak attack had Wasim and Shoaib both bowling together.

When he scored a century against Australia at MCG, he became the first Indian batter to score a century in Australia in the ODI format. 

(8/n)",N,249,29,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Such was his ODI batting that since 1st of Jan 1996 to the 1st of Jan 2000, he was the second highest run getter in ODIs just behind the Great  Sachin Tendulkar. And soon he saw himself being named the Indian Captain, after Sachin decided to step down. 
While turbulent times awaited Indian cricket, after the match fixing scandal was unearthed. Cricket seemed to be in shambles and people seemed to have lost faith, and that's where Ganguly created a blend of youngsters with seniors like Dravid, Sachin, Kumble and Srinath. 
Zones really didn't matter to him, players did. Players like Yuvraj, Zaheer, Ashish, Sehwag, Bhajji were brought into the team and backed well. 
It was the 2000 Knockout Trophy, where India had reached the finals against the Kiwis, Sourav had a century in both semis and finals, though India eventually lost to the Kiwis courtesy Chris Cairns' brilliance. (9/n)",N,294,44,4,Y
"@talksports45",Spandan Roy,8-Jul-2024,"A tough test, or probably the toughest test awaited Ganguly and his men, the Aussies touring India. India had lost the first in Mumbai and this extended Aussies win streak to 16. Australia were doing really well with their cricket as well as the sledging part is concerned.

The selectors wanted to drop Bhajji and play Sarandeep Singh, after the Mumbai test. Dada was adamant and wanted Bhajji to continue, and his decision turned out to be fruitful for India. 
Bhajji's bowling in that series, alongside Dravid and Laxman's heroics tilted the game in India's favor. Not only the streak had ended, India also managed to win a series, that is talked about highly even today. (10/n)",N,277,36,3,Y
"@talksports45",Spandan Roy,8-Jul-2024,"But the drive was to win overseas tests, and India did succeed at that .  When India toured England in 2002.. who can forget the victory at Headingley.. The trio of Sachin, Dravid and Dada scored a century each, posting total of 628/8, and India secured an innings victory, after losing the very first test of the series and the series ended in a draw. Sanjay Bangar deserves a lot of credit, opening the innings and facing the new ball.

While India couldn't manage to win or draw the series in Sri Lanka, back in 2001, but they managed to attain a victory in Kandy, without Sachin, Kumble and Srinath. In that game, Dada played an unbeaten innings of 98 and also was the man of the match. (11/n)",N,228,31,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"While talking about some famous wins who can forget the Natwest Finals in 2002, Dada and his shirt at the Lord's Balcony, after India defeating England in the finals. The retaliation to what Flintoff did at Wankhede..

While India might have lost hopes, after the initial jolts Yuvraj and Kaif managed to hold their nerves and play an innings, to remember for life.

The definition of Indian Cricket had changed... (12/n)",N,271,36,3,Y
"@talksports45",Spandan Roy,8-Jul-2024,"In 2002, India also managed to be the joint winners of the Champions Trophy held in Sri Lanka. India's 2nd ICC Trophy was in the bag... 
A bigger challenge awaited India, the 2003 World Cup. Dada had convinced Srinath to come out of retirement and lead the young Indian bowling attack. 
 India started well with a win against Netherlands, but couldn't match the Aussies... The crowds back home, were angry and protests followed... But the Men in Blue, turned things around, after this defeat... 
They didn't lose a single game until the finals. Sachin and Sourav emerged as the leading run scorers and Saurav became the the first Indian batter to score a century in the semi finals of World Cup.
Unfortunately, India couldn't get past through the Aussies in final, but it was a journey to be cherished. It still remains a heart break, but that team is still an emotion for many. (13/n)",N,281,36,2,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Time to Travel Down Under: Before the series against Australia, Sourav sought Greg Chappell's guidance. They practiced in two sessions with a lunch break to follow.  From fielding positions, to ideal bowling combinations, Dada had a long enquiry list. 

And these sessions did reap success. In the very first test, the leader stood tall.. Dada scored 144 at Brisbane, a wicket which wasn't the most suitable for his play-style. The match ended in a draw and Dada was the Man of the Match. 
And an even better result followed at Adelaide where India won the game by 4 wickets. Dravid scored a double century and an unbeaten 72 to guide his team home.
India lost the test at MCG and Australia were able to save the last test at Sydney, which meant the series ended as an equalizer. Sourav got a huge applause when he walked into the press conference, after the last test..  (14/n)",N,222,23,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"The tough times were going to begin soon for DADA. After enjoying a very successful run with John Wright, it was the time for a new coach. Dada thought of Chappell being the best fit, as his guidance proved to be valuable for him, but little did Dada know that he was gonna hit rock-bottom.
It all started with an email, and it did spread like wildfire, where Greg had termed Ganguly unfit to lead the Indian team. There was this image of them playing pool together, but the situation wasn't in control. And after sometime, Dada found himself out of the team. There were different reasons stated form, fitness.
Dada was asked to prove fitness in the Duleep Trophy, where scored a century against North Zone, but was overlooked. 
He was dropped from the side which was slated to play South Africa. Dada after some stellar performances in the Ranji game, came back for the SL series, but was once again dropped after the 2nd test.
To his surprise, he got picked for the Pakistan series, but didn't get to bat in one of the test matches and scored 40 and 39 at Karachi and was once again left out of ODIs (15/n)",N,166,20,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"Time flew by, selection meetings kept happening, but Dada's name didn't appear. This was the time, when Dada's father, asked him to walk away with pride as he had achieved a lot, but Dada wanted to fight and wanted to prove it, that he still had a lot of cricket left in him.
The Champions Trophy was held in India, and India couldn't make it to the knock-outs. This was the time when the famous Pepsi-ad was released. And the response to this ad was unprecedented. (16/n)",N,299,44,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"India lost 1-4 to South Africa in the One Day series, such was it's impact that the matter was discussed in the parliament. And fortunes changed for Dada, as he was picked for the test series in South Africa, not the easiest place to bat on and given the ferocious Proteas attack.
India did play a practice game on the 7th of December,2006 and Dada did score a valiant 83. Moving onto the first test, India lost a couple of wickets, quickly and Dada emerged as the highest run getter in the first innings, scoring 51 and India pulled off a victory in the first test.
 While Ganguly couldn't do much in the second test, he scored 66 and 46 in the third test, probably one of his finest outings in the last few years.. Not the biggest of scores, but he looked in a different mood and a different batter. (17/n)",N,197,24,2,Y
"@talksports45",Spandan Roy,8-Jul-2024,"After NewLands, there was no looking back, he was also named in the ODI squad which was slated to play against West Indies and Sri Lanka before the World Cup. In his very first ODI, after the exile he scored 98 against Windies and followed it with a couple of half centuries against Sri Lanka. The video posted is his innings vs WI, where he scored 68.

Ganguly made a place for himself in the ODI squad, slated to play the World Cup. He scored 66 against Bangladesh and 89 against Bermuda, though India faced a shocking exit, being defeated by Bangladesh and Sri Lanka in the group stage. (18/n)",N,159,22,1,Y
"@talksports45",Spandan Roy,8-Jul-2024,"After a horror show at the World Cup, Chappell resigned. Ganguly in his very next test match scored a century against Bangladesh. That same year, Pakistan toured India and Ganguly had a series to remember for life. 
He first scored a ton at Eden Gardens, and then followed it up with a double century at Chinnaswamy, (scoring his best test score of 239 )the same stadium where he was booed three years ago, after losing a test to Pakistan. 
He had the opportunity of scoring a ton in both the innings but missed out by a small margin, after being dismissed for 91 in the 2nd innings.
Even in the controversial Syndey test, Dada had half centuries to his name in both the innings. (19/n)",N,191,22,3,Y
